Abbreviation,Team
MIA,Heat
MIL,Bucks
BOS,Celtics
PHI,Sixers
TOR,Raptors
CHI,Bulls
BKN,Nets
CLE,Caveliers
ATL,Hawks
CHA,Hornets
NYK,Knicks
WSH,Wizards
IND,Pacers
DET,Pistons
ORL,Magic
PHX,Suns
MEM,Grizzlies
GSW,Warriors
DAL,Mavericks
UTA,Jazz
DEN,Nuggets
MIN,Timerwolves
LAC,Clippers
NOP,Pelicans
SAS,Spurs
LAL,Lakers
SAC,Kings
POR,Trail Blazers
OKC,Thunder
HOU,Rockets
WSB,Bullets
SEA,Supersonics
SDC,Clippers
KCK,Kings
PHO,Suns
NJN,Nets
WAS,Wizards
NOH,Hornets
TOT,Two Teams
